tree_id,neighbourhood_name,road_side,mean_bryo_cover,mean_lichen_cover,mean_species_count,log_bryo_cover,sqrt_lichen_cover
168210,kits,SR,2,5.083333333333333,1.9166666666666667,1.0986122886681098,2.254624876411447
169119,kits,gone,NA,NA,NA,NA,NA
169125,kits,gone,NA,NA,NA,NA,NA
169711,kits,SR,0.4166666666666667,14.916666666666666,1.8333333333333333,0.3483066942682158,3.8622100754188224
175679,renfrew,WR,0.5833333333333334,2.9166666666666665,0.9166666666666666,0.45953232937844024,1.707825127659933
175682,renfrew,WR,0,2.5833333333333335,0.9166666666666666,0,1.6072751268321592
175724,renfrew,ER,8.666666666666666,4.083333333333333,2.0833333333333335,2.268683541318364,2.0207259421636903
175796,renfrew,ER,0.75,5.5,1.4166666666666667,0.5596157879354227,2.345207879911715
176928,kits,WR,1.3333333333333333,13.166666666666666,2.5,0.8472978603872034,3.6285901761795403
180092,kits,WR,8.833333333333334,1,1.75,2.2857779746776643,1
180095,kits,WR,8.916666666666666,1,2.0833333333333335,2.294216843323529,1
180817,kits,NR,0.25,1.9166666666666667,0.5,0.22314355131420976,1.3844373104863459
181756,renfrew,SR,0.25,1.25,0.5833333333333334,0.22314355131420976,1.118033988749895
181757,renfrew,SR,8.416666666666666,0.9166666666666666,1,2.24248116892434,0.9574271077563381
181758,renfrew,SR,0.16666666666666666,4,0.9166666666666666,0.15415067982725836,2
181759,renfrew,SR,5.333333333333333,5.666666666666667,1.5833333333333333,1.8458266904983307,2.3804761428476167
181760,renfrew,SR,4.166666666666667,1.8333333333333333,0.75,1.6422277352570913,1.35400640077266
183628,kits,NR,2.0833333333333335,8.25,2.3333333333333335,1.1260112628562242,2.8722813232690143
183629,kits,cut down,NA,NA,NA,NA,NA
183630,kits,NR,0.08333333333333333,2.5833333333333335,1.0833333333333333,0.08004270767353636,1.6072751268321592
183631,kits,NR,0.8333333333333334,10.5,2.3333333333333335,0.6061358035703156,3.24037034920393
183632,kits,NR,0.08333333333333333,9.666666666666666,1.75,0.08004270767353636,3.1091263510296048
183633,kits,cut down,NA,NA,NA,NA,NA
