TREE_ID,CIVIC_NUMBER,STD_STREET,GENUS_NAME,SPECIES_NAME,CULTIVAR_NAME,COMMON_NAME,ON_STREET_BLOCK,ON_STREET,NEIGHBOURHOOD_NAME,STREET_SIDE_NAME,HEIGHT_RANGE_ID,HEIGHT_RANGE,DIAMETER,DATE_PLANTED,Geom,geo_point_2d,gen_spec,lat,lon,Road
183634,3158,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,3,30-40,15.0,2000-03-17,"{""coordinates"": [-123.1751099996201, 49.26837999887499], ""type"": ""Point""}","49.26837999887499, -123.1751099996201",CARPINUS BETULUS,49.26837999887499,-123.1751099996201,Arterial
183628,3128,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,3,30-40,11.0,2000-03-17,"{""coordinates"": [-123.1743500005956, 49.26835999865986], ""type"": ""Point""}","49.26835999865986, -123.1743500005956",CARPINUS BETULUS,49.26835999865986,-123.1743500005956,Arterial
3469,3348,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,EVEN,4,40-50,17.5,,"{""coordinates"": [-123.1786600005201, 49.26840999899412], ""type"": ""Point""}","49.26840999899412, -123.1786600005201",CARPINUS BETULUS,49.26840999899412,-123.1786600005201,Arterial
193407,3333,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,ODD,2,20-30,10.0,,"{""coordinates"": [-123.17940999999315, 49.26841999901414], ""type"": ""Point""}","49.26841999901414, -123.17940999999315",CARPINUS BETULUS,49.26841999901414,-123.17940999999315,Residential
114195,2274,TRAFALGAR ST,CARPINUS,BETULUS,,EUROPEAN HORNBEAM,2200,TRAFALGAR ST,KITSILANO,EVEN,4,40-50,39.0,,"{""coordinates"": [-123.16453199953776, 49.26597499876801], ""type"": ""Point""}","49.26597499876801, -123.16453199953776",CARPINUS BETULUS,49.26597499876801,-123.16453199953776,Residential
162968,2485,W BROADWAY,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,2400,W BROADWAY,KITSILANO,ODD,2,20-30,9.0,1996-03-18,"{""coordinates"": [-123.16199100049289, 49.26406399902913], ""type"": ""Point""}","49.26406399902913, -123.16199100049289",CARPINUS BETULUS,49.26406399902913,-123.16199100049288,Residential
121352,1901,YORK AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,1900,YORK AV,KITSILANO,ODD,4,40-50,21.0,,"{""coordinates"": [-123.14884499967897, 49.27167399923212], ""type"": ""Point""}","49.27167399923212, -123.14884499967897",CARPINUS BETULUS,49.27167399923212,-123.14884499967896,Residential
70435,1855,CREELMAN AV,CARPINUS,BETULUS,,EUROPEAN HORNBEAM,1200,CYPRESS ST,KITSILANO,EVEN,3,30-40,34.0,,"{""coordinates"": [-123.14763999931492, 49.27480599922893], ""type"": ""Point""}","49.27480599922893, -123.14763999931492",CARPINUS BETULUS,49.27480599922893,-123.14763999931492,Residential
180092,2628,YEW ST,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,2600,YEW ST,KITSILANO,EVEN,2,20-30,10.5,1999-05-29,"{""coordinates"": [-123.15525299953893, 49.262771998885434], ""type"": ""Point""}","49.262771998885434, -123.15525299953893",CARPINUS BETULUS,49.26277199888544,-123.15525299953892,Residential
121354,1901,YORK AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,1900,YORK AV,KITSILANO,ODD,4,40-50,16.0,,"{""coordinates"": [-123.14898300034571, 49.27167399948311], ""type"": ""Point""}","49.27167399948311, -123.14898300034571",CARPINUS BETULUS,49.27167399948311,-123.14898300034572,Residential
